Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Willson Contreras,30,113,487,416,65,101,23,2,22,55,4,2,45,103,0.243,0.349,0.466,0.815,128,194,14,24,0,2,0
2,1B,Alfonso Rivas*,25,101,287,251,27,59,5,2,3,25,6,1,29,87,0.235,0.322,0.307,0.628,80,77,1,4,1,2,1
3,2B,Nick Madrigal,25,59,228,209,19,52,7,0,0,7,3,1,14,27,0.249,0.305,0.282,0.588,68,59,6,3,2,0,0
4,SS,Nico Hoerner,25,135,517,481,60,135,22,5,10,55,20,2,28,57,0.281,0.327,0.41,0.736,107,197,11,6,0,2,4
5,3B,Patrick Wisdom,30,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426,0.725,102,200,8,9,1,2,1
6,LF,Ian Happ#,27,158,641,573,72,155,42,2,17,72,9,4,58,149,0.271,0.342,0.44,0.781,119,252,11,6,0,4,4
7,CF,Christopher Morel,23,113,425,379,55,89,19,4,16,47,10,7,38,137,0.235,0.308,0.433,0.741,107,164,6,3,3,2,0
8,RF,Seiya Suzuki,27,111,446,397,54,104,22,2,14,46,9,5,42,110,0.262,0.336,0.433,0.77,116,172,8,4,0,3,3
9,DH,Franmil Reyes,26,48,193,175,19,41,8,2,5,19,0,1,16,53,0.234,0.301,0.389,0.689,93,68,4,1,0,1,0
10,CF,Rafael Ortega*,31,118,371,316,35,76,14,1,7,35,12,7,44,74,0.241,0.331,0.358,0.688,95,113,10,2,1,7,2
11,C,Yan Gomes,34,86,293,277,23,65,12,0,8,31,2,0,8,47,0.235,0.26,0.365,0.625,75,101,15,3,1,4,0
12,1B,Frank Schwindel,30,75,292,271,23,62,11,0,8,36,0,0,19,58,0.229,0.277,0.358,0.635,78,97,12,0,0,2,1
13,UT,P.J. Higgins,29,74,229,201,23,46,11,1,6,30,0,0,22,58,0.229,0.31,0.383,0.693,95,77,2,2,3,1,0
14,OF,Nelson Velázquez,23,77,206,185,20,38,7,3,6,26,5,2,19,65,0.205,0.286,0.373,0.659,85,69,5,2,0,0,0
15,IF,Zach McKinstry*,27,47,171,155,17,32,6,3,4,12,7,0,13,48,0.206,0.272,0.361,0.633,78,56,0,1,2,0,0
16,2B,Jonathan Villar#,31,46,166,153,19,34,6,2,2,15,6,0,11,42,0.222,0.271,0.327,0.598,69,50,3,0,0,2,0
17,OF,Jason Heyward*,32,48,151,137,15,28,5,1,1,10,1,0,11,32,0.204,0.278,0.277,0.556,58,38,3,3,0,0,0
18,IF,David Bote,29,41,127,116,15,30,8,0,4,12,1,0,6,45,0.259,0.315,0.431,0.746,109,50,3,4,0,1,0
19,MI,Andrelton Simmons,32,34,85,75,8,13,1,0,0,7,4,0,7,13,0.173,0.244,0.187,0.431,25,14,5,0,3,0,0
20,CF,Michael Hermosillo,27,31,73,61,7,7,2,0,0,4,1,0,7,27,0.115,0.25,0.148,0.398,17,9,0,4,1,0,0
21,2B,Esteban Quiroz*,30,14,47,40,3,11,0,0,0,3,1,1,4,9,0.275,0.37,0.275,0.645,87,11,0,2,1,0,0
22,OF,Jackson Frazier,27,19,45,37,4,8,3,0,0,1,1,0,7,11,0.216,0.356,0.297,0.653,88,11,1,1,0,0,0
23,MI,Ildemaro Vargas#,30,10,26,23,4,3,0,1,1,4,0,0,3,2,0.13,0.231,0.348,0.579,61,8,1,0,0,0,0
24,UT,Jared Young*,26,6,22,19,2,5,2,0,0,0,1,0,3,7,0.263,0.364,0.368,0.732,108,7,0,0,0,0,0
25,OF,Narciso Crook,26,4,9,8,1,2,1,0,0,2,0,0,0,3,0.25,0.222,0.375,0.597,65,3,1,0,0,1,0
26,P,David Robertson,37,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
