Rk,Pos,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
1,SP,Marcus Stroman,31,6,7,0.462,3.5,25,25,0,0,0,0,138.2,123,61,54,16,36,0,119,4,2,2,569,117,3.76,1.147,8,1,2.3,7.7,3.31
2,SP,Justin Steele*,26,4,7,0.364,3.18,24,24,0,0,0,0,119,111,53,42,8,50,0,126,3,1,4,512,129,3.2,1.353,8.4,0.6,3.8,9.5,2.52
3,SP,Keegan Thompson,27,10,5,0.667,3.76,29,17,4,0,0,1,115,103,54,48,16,43,0,108,9,0,5,485,109,4.4,1.27,8.1,1.3,3.4,8.5,2.51
4,SP,Drew Smyly*,33,7,8,0.467,3.47,22,22,0,0,0,0,106.1,101,46,41,16,26,0,91,5,0,3,447,118,4.23,1.194,8.5,1.4,2.2,7.7,3.5
5,SP,Adrian Sampson,30,4,5,0.444,3.11,21,19,2,0,0,0,104.1,101,40,36,10,27,0,73,2,1,0,428,132,3.79,1.227,8.7,0.9,2.3,6.3,2.7
6,SP,Kyle Hendricks,32,4,6,0.4,4.8,16,16,0,0,0,0,84.1,85,45,45,15,24,0,66,3,0,0,356,86,4.82,1.292,9.1,1.6,2.6,7,2.75
7,CL,David Robertson,37,3,0,1,2.23,36,0,22,0,0,14,40.1,23,10,10,4,19,0,51,3,0,2,165,185,3.51,1.041,5.1,0.9,4.2,11.4,2.68
8,RP,Rowan Wick,29,4,7,0.364,4.22,64,0,22,0,0,9,64,79,37,30,9,29,2,69,1,0,3,294,98,4.19,1.688,11.1,1.3,4.1,9.7,2.38
9,RP,Brandon Hughes*,26,2,3,0.4,3.12,57,0,16,0,0,8,57.2,42,22,20,11,21,3,68,6,0,3,239,132,4.64,1.092,6.6,1.7,3.3,10.6,3.24
10,RP,Michael Rucker,28,3,1,0.75,3.95,41,0,9,0,0,0,54.2,50,25,24,8,20,0,50,0,0,4,229,104,4.28,1.28,8.2,1.3,3.3,8.2,2.5
11,RP,Scott Effross,28,1,4,0.2,2.66,47,1,6,0,0,1,44,36,19,13,2,11,3,50,0,1,0,178,155,2.18,1.068,7.4,0.4,2.3,10.2,4.55
12,,Mark Leiter Jr.,31,2,7,0.222,3.99,35,4,11,0,0,3,67.2,52,32,30,10,25,2,73,7,0,5,282,103,4.29,1.138,6.9,1.3,3.3,9.7,2.92
13,,Mychal Givens,32,6,2,0.75,2.66,40,0,5,0,0,2,40.2,32,15,12,5,19,3,51,3,0,1,172,156,3.83,1.254,7.1,1.1,4.2,11.3,2.68
14,,Javier Assad,24,2,2,0.5,3.11,9,8,0,0,0,0,37.2,35,14,13,4,20,0,30,0,0,1,166,133,4.49,1.46,8.4,1,4.8,7.2,1.5
15,,Wade Miley*,35,2,2,0.5,3.16,9,8,0,0,0,0,37,31,20,13,3,14,0,28,2,0,1,159,131,3.95,1.216,7.5,0.7,3.4,6.8,2
16,,Matt Swarmer,28,2,3,0.4,5.03,11,5,2,0,0,0,34,33,26,19,12,20,1,36,0,0,1,153,82,7.35,1.559,8.7,3.2,5.3,9.5,1.8
17,,Hayden Wesneski,24,3,2,0.6,2.18,6,4,1,0,0,0,33,24,9,8,3,7,0,33,3,0,0,132,190,3.2,0.939,6.5,0.8,1.9,9,4.71
18,,Chris Martin,36,1,0,1,4.31,34,0,4,0,0,0,31.1,38,16,15,5,4,1,40,0,1,6,133,96,3.02,1.34,10.9,1.4,1.1,11.5,10
19,,Daniel Norris*,29,0,4,0,6.9,27,1,12,0,0,0,30,23,28,23,7,21,0,43,2,1,1,134,60,5.58,1.467,6.9,2.1,6.3,12.9,2.05
20,,Erich Uelmen,26,2,1,0.667,4.67,25,0,8,0,0,1,27,25,15,14,3,12,1,21,6,0,1,122,89,5,1.37,8.3,1,4,7,1.75
21,,Sean Newcomb*,29,2,1,0.667,9.13,17,1,2,0,0,0,22.2,26,24,23,7,15,0,24,0,0,1,108,46,6.99,1.809,10.3,2.8,6,9.5,1.6
22,,Anderson Espinoza,24,0,2,0,5.4,7,0,2,0,0,0,18.1,14,11,11,4,16,0,19,4,1,1,85,77,7.15,1.636,6.9,2,7.9,9.3,1.19
23,,Alec Mills,30,0,1,0,9.68,7,2,2,0,0,0,17.2,28,20,19,7,3,1,11,3,0,0,84,43,8.04,1.755,14.3,3.6,1.5,5.6,3.67
24,,Robert Gsellman,28,0,2,0,4.7,8,0,5,0,0,1,15.1,17,10,8,2,3,0,9,0,0,0,64,89,4.22,1.304,10,1.2,1.8,5.3,3
25,,Manuel Rodríguez,25,2,0,1,3.29,14,0,5,0,0,4,13.2,10,6,5,1,9,0,8,0,0,2,57,128,4.87,1.39,6.6,0.7,5.9,5.3,0.89
26,,Adbert Alzolay,27,2,1,0.667,3.38,6,0,1,0,0,0,13.1,9,5,5,1,2,0,19,1,0,0,52,125,1.91,0.825,6.1,0.7,1.4,12.8,9.5
27,,Caleb Kilian,25,0,2,0,10.32,3,3,0,0,0,0,11.1,11,15,13,0,12,1,9,1,0,3,56,41,4.96,2.029,8.7,0,9.5,7.1,0.75
28,,Luke Farrell,31,0,0,,4.09,4,2,1,0,0,0,11,12,5,5,2,3,0,9,0,0,0,48,103,4.66,1.364,9.8,1.6,2.5,7.4,3
29,,Kervin Castro,23,0,1,0,7.59,8,0,5,0,0,0,10.2,11,9,9,3,5,0,7,0,0,0,46,56,6.86,1.5,9.3,2.5,4.2,5.9,1.4
30,,Steven Brault*,30,0,0,,3,9,0,1,0,0,0,9,8,4,3,0,5,0,8,1,0,1,39,142,3.33,1.444,8,0,5,8,1.6
31,,Ethan Roberts,24,0,1,0,8.22,9,0,3,0,0,0,7.2,10,7,7,3,6,0,9,1,0,0,38,52,8.59,2.087,11.7,3.5,7,10.6,1.5
32,,Jeremiah Estrada,23,0,0,,3.18,5,0,3,0,0,0,5.2,6,2,2,1,3,0,8,0,0,1,25,137,4.17,1.588,9.5,1.6,4.8,12.7,2.67
33,,Jesse Chavez,38,0,0,,6.35,3,0,0,0,0,0,5.2,7,4,4,1,2,0,3,0,0,0,24,69,5.41,1.588,11.1,1.6,3.2,4.8,1.5
34,,Eric Stout*,29,0,0,,4.91,2,0,1,0,0,0,3.2,3,2,2,1,1,0,6,0,0,0,15,92,4.2,1.091,7.4,2.5,2.5,14.7,6
35,,Frank Schwindel,30,0,0,,18,3,0,3,0,0,0,3,8,6,6,4,1,0,0,0,0,0,18,26,21.45,3,24,12,3,0,0
36,,Locke St. John*,29,0,0,,13.5,1,0,1,0,0,0,2,3,3,3,2,0,0,4,0,0,0,9,36,12.11,1.5,13.5,9,0,18,
37,,Nicholas Padilla,25,0,0,,5.4,1,0,0,0,0,0,1.2,2,1,1,0,2,0,1,0,0,1,9,93,5.51,2.4,10.8,0,10.8,5.4,0.5
38,,Franmil Reyes,26,0,0,,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,,4.11,0,0,0,0,9,
39,,Matt Dermody*,31,0,0,,18,1,0,1,0,0,0,1,2,2,2,0,2,1,1,0,0,0,7,31,7.11,4,18,0,18,9,0.5
40,,Andrelton Simmons,32,0,0,,45,1,0,1,0,0,0,1,5,5,5,0,1,0,0,0,0,0,9,13,6.11,6,45,0,9,0,0
41,,Conner Menez*,27,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,5,,4.11,1,9,0,0,9,
42,,Brendon Little*,25,0,1,0,40.5,1,0,0,0,0,0,0.2,2,3,3,1,1,0,0,1,0,0,6,16,31.61,4.5,27,13.5,13.5,0,0
,,Team Totals,29.3,74,88,0.457,4,162,162,162,0,0,44,1443.2,1342,731,642,207,540,19,1383,73,8,53,6162,103,4.33,1.304,8.4,1.3,3.4,8.6,2.56
,,Rank in 15 NL teams,,9,6,,10,,,,10,6,4,4,9,10,10,13,12,,9,,,,,,,,,,,,
